transaction_id,account_id,amount,transaction_type,timestamp,city
TXN00007361,ACC3049,652.4,deposit,2024-01-01 00:05:18,Bhaktapur
TXN00001227,ACC2503,3253.94,transfer,2024-01-01 00:19:58,Lalitpur
TXN00009997,ACC6185,54.78,payment,2024-01-01 00:51:57,Pokhara
TXN00008960,ACC4205,1636.39,payment,2024-01-01 01:59:10,Biratnagar
TXN00002962,ACC6272,882.55,deposit,2024-01-01 02:18:03,Janakpur
TXN00007352,ACC8817,3838.81,deposit,2024-01-01 02:31:24,Lalitpur
TXN00005167,ACC6168,1088.83,withdrawal,2024-01-01 03:17:45,Biratnagar
TXN00004329,ACC3906,89221.02,withdrawal,2024-01-01 04:36:53,Nepalgunj
TXN00008762,ACC8949,223.52,withdrawal,2024-01-01 05:17:04,Kathmandu
TXN00008539,ACC4808,5791.59,transfer,2024-01-01 05:20:39,Kathmandu
TXN00007625,ACC2605,689570.55,withdrawal,2024-01-01 05:33:22,Kathmandu
TXN00001040,ACC7086,24202.15,deposit,2024-01-01 05:58:52,Butwal
TXN00004935,ACC9026,1188.53,deposit,2024-01-01 06:43:33,Lalitpur
TXN00003409,ACC8955,1910.37,deposit,2024-01-01 07:51:33,Nepalgunj
TXN00000881,ACC8316,466897.42,payment,2024-01-01 09:22:51,Janakpur
TXN00009666,ACC6777,38121.91,transfer,2024-01-01 13:32:22,Bhaktapur
TXN00009864,ACC9964,348.49,transfer,2024-01-01 13:36:46,Biratnagar
TXN00003491,ACC4626,1549.93,deposit,2024-01-01 14:50:03,Nepalgunj
TXN00005774,ACC7038,559.93,deposit,2024-01-01 16:06:52,Janakpur
TXN00007469,ACC8055,1283.42,deposit,2024-01-01 18:09:43,Janakpur
TXN00008932,ACC7427,4245.12,transfer,2024-01-01 19:27:16,Lalitpur
TXN00009232,ACC5337,11014.39,deposit,2024-01-01 20:58:31,Kathmandu
TXN00002949,ACC1042,2051.26,withdrawal,2024-01-02 00:53:36,Biratnagar
TXN00009144,ACC3960,1363.33,deposit,2024-01-02 01:30:48,Bhaktapur
TXN00009699,ACC1976,33095.62,transfer,2024-01-02 02:15:45,Biratnagar
TXN00007014,ACC3625,12889.42,deposit,2024-01-02 04:27:29,Hetauda
TXN00009748,ACC3843,294.71,deposit,2024-01-02 04:29:49,Butwal
TXN00000838,ACC9998,404.76,payment,2024-01-02 04:57:29,Lalitpur
TXN00008286,ACC6810,19707.81,transfer,2024-01-02 05:31:52,Nepalgunj
TXN00002432,ACC6798,387.87,deposit,2024-01-02 05:48:17,Bhaktapur
TXN00003174,ACC4875,14073.6,payment,2024-01-02 06:03:12,Butwal
